timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2025-04-24 22:52:00,traffic light,1,0.74,person,3,0.95,,,
2025-04-24 03:11:00,bicycle,3,0.98,,,,,,
2025-04-24 04:05:00,bus,2,0.92,bicycle,3,0.74,,,
2025-04-24 16:21:00,traffic light,4,0.89,,,,,,
2025-04-24 20:13:00,traffic light,1,0.69,,,,,,
2025-04-24 22:44:00,truck,1,0.9,traffic light,2,0.89,,,
2025-04-24 23:10:00,dog,1,0.62,,,,,,
2025-04-24 06:58:00,truck,5,0.65,,,,,,
2025-04-24 08:07:00,bicycle,2,0.86,traffic light,4,0.83,car,2,0.76
2025-04-24 16:47:00,motorcycle,5,0.99,,,,,,
