timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2024-10-15 15:40:00,traffic light,3,0.7,motorcycle,3,0.82,,,
2024-10-15 23:13:00,cat,1,0.57,,,,,,
2024-10-15 19:20:00,cat,2,0.7,bicycle,2,0.92,,,
2024-10-15 15:05:00,traffic light,5,0.81,,,,,,
2024-10-15 02:05:00,dog,1,0.89,motorcycle,1,0.87,,,
2024-10-15 15:23:00,truck,5,0.82,dog,2,0.62,,,
2024-10-15 01:15:00,traffic light,4,0.73,,,,,,
2024-10-15 20:55:00,person,5,0.53,traffic light,5,0.55,truck,5,0.99
2024-10-15 12:01:00,stop sign,1,0.67,,,,,,
2024-10-15 20:06:00,person,1,0.65,truck,4,0.77,cat,2,0.84
