timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2025-05-06 15:44:00,cat,2,0.77,,,,,,
2025-05-06 10:14:00,truck,4,0.55,cat,5,0.93,traffic light,1,0.53
2025-05-06 09:44:00,cat,1,0.91,,,,,,
2025-05-06 09:03:00,traffic light,1,0.63,dog,4,0.57,bus,2,0.91
2025-05-06 02:03:00,car,1,0.99,,,,,,
2025-05-06 01:01:00,cat,5,0.83,dog,5,0.98,truck,3,0.87
2025-05-06 06:01:00,cat,3,0.6,bus,3,0.88,dog,2,0.81
2025-05-06 04:26:00,motorcycle,3,0.7,dog,1,0.96,person,1,0.7
2025-05-06 01:17:00,bicycle,4,0.99,,,,,,
2025-05-06 04:45:00,bicycle,5,0.86,person,1,0.75,,,
